,0
_xr_ccr_experian_attribute_bcx7110,68
_xr_caa_debt_ratio,114
_xr_ccr_experian_attribute_all7936,98
_xr_ccr_sties_sty_ALL.ato_three_years_ago,30
_xr_i_ssn_first_last_name_count,29
_xr_caa_ea_tbca3255,97
_wp_pro_ipch_distance_from_address,156
_xr_crh_srh_trrhs_trrh_highest_credit,52
_xr_ccr_sties_sty_C3.dd_seven_years_ago,28
_xr_caa_sties_sty_C5.inq_two_years_ago,24
_xr_cfi_crosstabs_crosstab_home_phone_home_address,43
_xr_ccr_score,306
_xr_ccr_sties_sty_C3.ato_two_years_ago,22
CCRCAA_C3NumberofLoansScore,18
_xr_caa_ea_rtr0300,43
_xr_crh_iclrh_ticlrh_ninety_days_ago,17
received_month,114
_xr_caa_ea_bca5030,43
_xr_ccr_sties_sty_ALL.dlp_seven_years_ago,22
_xr_ccr_amount_of_loans,52
ccr_req_amnt_amount_past_due_ratio,154
_xr_cfi_crosstabs_crosstab_ssn_zip_code,12
req_amt_to_income,79
_xr_ccr_days_since_last_loan_opened,170
_xr_ccr_experian_attribute_tbcc2351,113
_xr_crh_srh_trrhs_trrh_scheduled_payment,72
MKA_DaysSinceHiredate,52
WP_DaysDiffEmailFirstSeen_InsertDate,195
_xr_caa_ea_all7340,87
_xr_caa_ea_bcc7117,35
ccr_first_ontime_payment_inquiry_first_seen_ratio,270
_xr_ccr_experian_attribute_brc7140,82
_xr_ccr_sties_sty_ALL.dd_seven_years_ago,64
CRH_NumDaysSinceInquiryReceivedAt,147
_xr_caa_ea_taua4710,54
_wp_pro_ipch_distance_from_phone,109
_xr_caa_ea_iqt9420,82
n_months_emp,15
CCRCAA_ALLNumberofLoansScore,31
MKA_Empstart,120
_xr_ccr_sties_sty_C3.ato_three_years_ago,23
_xr_cfi_iv_phone_name_address_match_code_EA,11
_xr_caa_ea_brc5020,56
_xr_caa_sties_sty_CA.clu_two_years_ago,58
_xr_caa_sties_sty_CA.clu_one_year_ago,26
_xr_caa_ea_rtr5320,77
_xr_ccr_sties_sty_ALL.ato_one_year_ago,28
_xr_caa_ea_iln0300,41
_wp_pro_wp_emch_email_domain_creation_days,170
_xr_caa_ea_bca5020,45
MKAM_DOW_OriginalNextPaydate,74
_xr_ccr_days_since_previous_bank_account_previously_seen,54
_xr_ccr_experian_attribute_rev8151,71
_xr_caa_ea_all0336,19
_xr_ccr_sties_sty_ALL.alp_seven_years_ago,29
_xr_ccr_experian_attribute_als2000,51
CI_NumDaysSinceLastSeenLocation,19
_xr_caa_ea_all5360,124
_xr_caa_ea_all8325,125
_xr_caa_sties_sty_CA.clu_three_years_ago,36
_xr_ccr_sties_sty_C1.inq_one_year_ago,64
_xr_caa_ea_tbcc1502,63
_xr_caa_ea_all2000,22
_xr_ccr_sties_sty_C3.ato_ninety_days_ago,20
_xr_ccr_days_since_first_loan_opened,146
_xr_ccr_sties_sty_C3.ato_one_hundred_eighty_days_ago,11
MKA_Hirestart,127
_xr_ccr_tradelines_tradeline_ALL.aco_highest_credit,60
CFI_sties_WP_ratio_90d365d,16
_xr_caa_ea_tbca2301,67
_xr_caa_ea_aua5820,112
_xr_cfi_sties_sty_work_phone_threesixtyfive_days_ago,14
_xr_ccr_sties_sty_C3.aco_three_years_ago,13
_xr_caa_ea_all0446,25
_xr_cfi_crosstabs_crosstab_ssn_home_address,29
_xr_ccr_highest_number_of_days_past_due,15
ccr_current_open_total_loans_ratio,56
_xr_ccr_tradelines_tradeline_ALL.aco_current_balance,30
_xr_ccr_days_since_first_ontime_payment,117
_xr_caa_ea_bcc2326,13
_xr_ccr_days_since_first_bank_account_first_seen,125
_xr_caa_ea_all0216,44
n_months_bank,71
_xr_caa_ea_col5060,94
CRH_tirh_ratio_30d90d,22
_xr_cfi_rs_r_one_hour_ago_ninety_days_ago,24
_xr_caa_ea_all2707,27
_xr_caa_ea_iqt9417,57
_xr_caa_ea_rev5420,47
_xr_ccr_sties_sty_C3.inq_ninety_days_ago,53
_xr_caa_ea_rev1300,39
_xr_ccr_sties_sty_C3.aco_seven_years_ago,24
_xr_caa_ea_bcx3421,13
netmonthly_cf_risk,78
_xr_caa_ea_tbcc2261,91
_xr_ccr_experian_attribute_all8221,151
_xr_ccr_reported_net_monthly_income_previously_seen,116
_xr_ccr_days_since_last_loan_payment,74
_xr_ccr_days_since_reported_income_previously_seen,47
_xr_crh_srh_trrhs_trrh_amount_past_due,15
_xr_ccr_sties_sty_ALL.aco_seven_years_ago,36
_xr_caa_ea_bcc3423,20
_xr_ccr_experian_attribute_rtr5038,42
_xr_caa_ea_iqt9426,62
_xr_ccr_experian_attribute_bcc7216,47
_xr_ccr_sties_sty_ALL.dd_one_hundred_eighty_days_ago,14
MKA_DaysSinceEmptart,30
_xr_cfi_sty_score,123
_xr_caa_sties_sty_C3.inq_two_years_ago,35
rentorown_O,14
_xr_caa_ea_brc5830,72
CI_NumDaysSinceLastSeenAccount,13
n_months_address,52
_xr_ccr_sties_sty_ALL.dd_three_years_ago,66
_xr_cfi_rs_r_thirty_days_ago_ninety_days_ago,26
_xr_caa_ea_all1360,25
_xr_caa_ea_all2428,25
_xr_caa_sties_sty_CA.clu_one_hundred_eighty_days_ago,25
_xr_ccr_experian_attribute_aua6280,72
_xr_cfi_rs_r_one_hour_ago_threesixtyfive_days_ago,20
received_hour,66
_xr_crh_srh_trrhs_trrh_credit_limit,26
_xr_ccr_sties_sty_CA.inq_sixty_days_ago,21
CFI_sties_HA_ratio_90d365d,15
CRH_ticlrh_ratio_30d90d,19
_xr_ccr_sties_sty_C3.ato_seven_years_ago,47
_xr_caa_ea_mtf0300,33
_xr_ccr_experian_attribute_rev0300,25
_xr_caa_ea_all1380,26
ccr_req_amnt_amount_current_open_ratio,100
CRH_NumDaysSinceLastAccountVerified,59
_xr_ccr_sties_sty_C3.dd_two_years_ago,25
_xr_ccr_experian_attribute_tbcc2303,59
_xr_ccr_sties_sty_CA.inq_one_hundred_eighty_days_ago,36
_xr_ccr_days_since_last_loan_charged_off,99
_xr_ccr_experian_attribute_rev4080,26
_xr_caa_ea_all2001,49
_xr_ccr_sties_sty_C3.inq_thirty_days_ago,13
_xr_caa_ea_rev4070,16
MKA_DaysUntilNextPaydate,39
_xr_cfi_rs_r_thirty_days_ago_threesixtyfive_days_ago,47
_xr_ccr_experian_attribute_tbca3283,60
_xr_ccr_days_since_inquiry_previously_seen,38
_xr_cfi_rs_r_twentyfour_hours_ago_threesixtyfive_days_ago,14
_xr_ccr_days_since_previous_bank_account_first_seen,151
_xr_cfi_crosstabs_crosstab_email_address_home_address,18
