,0
ccr_first_ontime_payment_inquiry_first_seen_ratio,343
_xr_caa_ea_all7340,77
_xr_ccr_days_since_inquiry_first_seen,167
_xr_caa_ea_all2380,67
_xr_i_ssn_last_name_count,43
_xr_ccr_experian_attribute_rtr5038,54
_wp_pro_wp_emch_email_domain_creation_days,181
_xr_caa_ea_col5060,112
_xr_ccr_score,369
_xr_cfi_rs_r_fifteen_days_ago_threesixtyfive_days_ago,42
_xr_caa_ea_all5070,66
_xr_caa_ea_all5835,163
_xr_caa_ea_all3517,12
_xr_ccr_experian_attribute_tbcc2351,131
_xr_crh_iclrh_tirh_ninety_days_ago,20
_xr_ccr_sties_sty_ALL.alp_two_years_ago,43
_xr_caa_ea_aua1300,49
_xr_ccr_experian_attribute_als2000,44
_xr_caa_ea_iqt9415,45
_xr_ccr_sties_sty_C3.inq_one_year_ago,31
_xr_ccr_days_since_last_loan_payment,102
MKAM_NumDaysUntilNextPaydate,62
_xr_caa_sties_sty_CA.inq_three_years_ago,54
_xr_caa_ea_all2990,22
_xr_ccr_experian_attribute_rev0300,27
_xr_i_ofac_score,46
_xr_cfi_crosstabs_crosstab_home_phone_home_address,45
_xr_ccr_sties_sty_ALL.ato_one_year_ago,17
CFI_sties_MI_ratio_30d90d,19
_xr_ccr_days_since_previous_bank_account_previously_seen,96
_xr_ccr_sties_sty_ALL.aco_three_years_ago,19
_xr_caa_ea_iqt9425,23
_xr_caa_ea_aua5820,153
_xr_caa_ea_rev2320,47
_xr_caa_ea_iln0300,45
_xr_caa_ea_all5360,168
_xr_ccr_days_since_last_loan_opened,167
_xr_ccr_sties_sty_C3.ato_two_years_ago,41
_xr_ccr_sties_sty_ALL.ato_one_hundred_eighty_days_ago,21
_xr_ccr_sties_sty_ALL.ato_two_years_ago,53
received_month,118
_xr_caa_ea_all0100,68
last_seen_ssn_days,37
_xr_cfi_rs_r_ninety_days_ago_threesixtyfive_days_ago,56
_xr_cfi_sties_sty_inquiry_ninety_days_ago,13
_xr_ccr_days_since_first_loan_opened,178
_xr_ccr_sties_sty_C3.ato_one_year_ago,20
_xr_caa_ea_iqt9410,56
_xr_caa_ea_tbcc4355,176
MKA_DaysUntilNextPaydate,91
_xr_caa_ea_all0317,41
_xr_ccr_experian_attribute_all7936,101
_xr_ccr_experian_attribute_bcx7110,100
_xr_ccr_experian_attribute_fip6200,27
_xr_caa_debt_ratio,108
_xr_ccr_days_since_last_ontime_payment,73
_xr_ccr_experian_attribute_rev8151,80
ccr_req_amnt_amount_past_due_ratio,134
_xr_ccr_sties_sty_ALL.dlp_seven_years_ago,28
_xr_cfi_i_in_state_bank_i_true,13
_wp_pro_wp_emch_email_first_seen_days,165
_xr_ccr_sties_sty_C3.dd_seven_years_ago,39
_xr_cfi_crosstab_multiple,67
_xr_ccr_amount_of_loans,57
_xr_caa_sties_sty_CA.clu_three_years_ago,38
_xr_cfi_crosstabs_crosstab_home_address_home_address,19
_xr_caa_ea_iqt9420,95
MKA_Hirestart,179
_xr_crh_srh_trrhs_trrh_scheduled_payment,70
_xr_caa_sties_sty_C1.inq_two_years_ago,92
_xr_caa_ea_bcc2326,20
_xr_i_ssn_first_name_count,32
_xr_caa_ea_all8325,142
_xr_ccr_tradelines_tradeline_ALL.aco_current_balance,36
_xr_caa_ea_col2758,28
